Date_Time;Object;Temperature
06.04.2023 11:09;Water;"6,3"
06.04.2023 11:14;Water;"6,4"
06.04.2023 11:19;Water;"6,4"
06.04.2023 11:24;Water;"6,4"
06.04.2023 11:29;Water;"6,3"
06.04.2023 11:34;Water;"6,3"
06.04.2023 11:39;Water;"6,3"
06.04.2023 11:44;Water;"6,1"
06.04.2023 11:49;Water;6
06.04.2023 11:54;Water;"5,8"
06.04.2023 11:59;Water;"5,8"
06.04.2023 12:04;Water;"5,7"
06.04.2023 12:09;Water;"5,7"
06.04.2023 12:14;Water;"5,8"
06.04.2023 12:19;Water;"5,8"
06.04.2023 12:24;Water;"5,8"
06.04.2023 12:29;Water;"5,8"
06.04.2023 12:34;Water;"5,8"
06.04.2023 12:39;Water;"5,7"
06.04.2023 12:44;Water;"5,7"
06.04.2023 12:49;Water;"5,7"
06.04.2023 12:54;Water;"5,7"
06.04.2023 12:59;Water;"5,7"
06.04.2023 13:04;Water;"5,8"
06.04.2023 13:09;Water;"5,8"
06.04.2023 13:14;Water;"5,9"
06.04.2023 13:19;Water;"5,9"
06.04.2023 13:24;Water;"5,8"
06.04.2023 13:29;Water;"5,8"
06.04.2023 13:34;Water;"5,7"
06.04.2023 13:39;Water;"5,7"
06.04.2023 13:44;Water;"5,7"
06.04.2023 13:49;Water;"5,8"
06.04.2023 13:54;Water;"5,8"
06.04.2023 13:59;Water;"5,8"
06.04.2023 14:04;Water;"5,8"
06.04.2023 14:09;Water;"5,9"
06.04.2023 14:14;Water;"5,9"
06.04.2023 14:19;Water;"5,9"
06.04.2023 14:24;Water;"5,9"
06.04.2023 14:29;Water;"5,8"
06.04.2023 14:34;Water;"5,8"
06.04.2023 14:39;Water;"5,8"
06.04.2023 14:44;Water;"5,8"
06.04.2023 14:49;Water;"5,8"
06.04.2023 14:54;Water;"5,8"
06.04.2023 14:59;Water;"5,9"
06.04.2023 15:04;Water;6
06.04.2023 15:09;Water;"6,1"
06.04.2023 15:14;Water;"6,2"
06.04.2023 15:19;Water;"6,3"
06.04.2023 15:24;Water;"6,4"
06.04.2023 15:29;Water;"6,5"
06.04.2023 15:34;Water;"6,5"
06.04.2023 15:39;Water;"6,4"
06.04.2023 15:44;Water;"6,4"
06.04.2023 15:49;Water;"6,3"
06.04.2023 15:54;Water;"6,3"
06.04.2023 15:59;Water;"6,3"
06.04.2023 16:04;Water;"6,2"
06.04.2023 16:09;Water;"6,1"
06.04.2023 16:14;Water;"6,1"
06.04.2023 16:19;Water;"6,3"
06.04.2023 16:24;Water;"6,4"
06.04.2023 16:29;Water;"6,5"
06.04.2023 16:34;Water;"6,5"
06.04.2023 16:39;Water;"6,4"
06.04.2023 16:44;Water;"6,4"
06.04.2023 16:49;Water;"6,3"
06.04.2023 16:54;Water;"6,2"
06.04.2023 16:59;Water;"6,2"
06.04.2023 17:04;Water;"6,2"
06.04.2023 17:09;Water;"6,3"
06.04.2023 17:14;Water;"6,3"
06.04.2023 17:19;Water;"6,3"
06.04.2023 17:24;Water;"6,4"
06.04.2023 17:29;Water;"6,5"
06.04.2023 17:34;Water;"6,5"
06.04.2023 17:39;Water;"6,5"
06.04.2023 17:44;Water;"6,5"
06.04.2023 17:49;Water;"6,4"
06.04.2023 17:54;Water;"6,4"
06.04.2023 17:59;Water;"6,4"
06.04.2023 18:04;Water;"6,3"
06.04.2023 18:09;Water;"6,3"
06.04.2023 18:14;Water;"6,3"
06.04.2023 18:19;Water;"6,3"
06.04.2023 18:24;Water;"6,3"
06.04.2023 18:29;Water;"6,3"
06.04.2023 18:34;Water;"6,3"
06.04.2023 18:39;Water;"6,3"
06.04.2023 18:44;Water;"6,3"
06.04.2023 18:49;Water;"6,3"
06.04.2023 18:54;Water;"6,3"
06.04.2023 18:59;Water;"6,3"
06.04.2023 19:04;Water;"6,3"
06.04.2023 19:09;Water;"6,3"
06.04.2023 19:14;Water;"6,3"
06.04.2023 19:19;Water;"6,3"
06.04.2023 19:24;Water;"6,3"
06.04.2023 19:29;Water;"6,3"
06.04.2023 19:34;Water;"6,3"
06.04.2023 19:39;Water;"6,5"
06.04.2023 19:44;Water;"6,5"
06.04.2023 19:49;Water;"6,4"
06.04.2023 19:54;Water;"6,5"
06.04.2023 19:59;Water;"6,5"
06.04.2023 20:04;Water;"6,6"
06.04.2023 20:09;Water;"6,6"
06.04.2023 20:14;Water;"6,6"
06.04.2023 20:19;Water;"6,6"
06.04.2023 20:24;Water;"6,8"
06.04.2023 20:29;Water;"6,9"
06.04.2023 20:34;Water;"6,9"
06.04.2023 20:39;Water;"6,9"
06.04.2023 20:44;Water;"6,8"
06.04.2023 20:49;Water;"6,8"
06.04.2023 20:54;Water;"6,8"
06.04.2023 20:59;Water;"6,8"
06.04.2023 21:04;Water;"6,7"
06.04.2023 21:09;Water;"6,7"
06.04.2023 21:14;Water;"6,8"
06.04.2023 21:19;Water;"6,9"
06.04.2023 21:24;Water;7
06.04.2023 21:29;Water;"7,1"
06.04.2023 21:34;Water;"7,1"
06.04.2023 21:39;Water;"7,2"
06.04.2023 21:44;Water;"7,3"
06.04.2023 21:49;Water;"7,3"
06.04.2023 21:54;Water;"7,3"
06.04.2023 21:59;Water;"7,3"
06.04.2023 22:04;Water;"7,3"
06.04.2023 22:09;Water;"7,3"
06.04.2023 22:14;Water;"7,4"
06.04.2023 22:19;Water;"7,6"
06.04.2023 22:24;Water;"7,7"
06.04.2023 22:29;Water;"7,8"
06.04.2023 22:34;Water;"7,7"
06.04.2023 22:39;Water;"7,7"
06.04.2023 22:44;Water;"7,6"
06.04.2023 22:49;Water;"7,5"
06.04.2023 22:54;Water;"7,4"
06.04.2023 22:59;Water;"7,4"
06.04.2023 23:04;Water;"7,2"
06.04.2023 23:09;Water;"7,1"
06.04.2023 23:14;Water;"6,9"
06.04.2023 23:19;Water;"6,8"
06.04.2023 23:24;Water;"6,7"
06.04.2023 23:29;Water;"6,6"
06.04.2023 23:34;Water;"6,5"
06.04.2023 23:39;Water;"6,5"
06.04.2023 23:44;Water;"6,5"
06.04.2023 23:49;Water;"6,5"
06.04.2023 23:54;Water;"6,6"
06.04.2023 23:59;Water;"6,6"
06.05.2023 0:04;Water;"6,6"
06.05.2023 0:09;Water;"6,6"
06.05.2023 0:14;Water;"6,6"
06.05.2023 0:19;Water;"6,5"
06.05.2023 0:24;Water;"6,5"
06.05.2023 0:29;Water;"6,5"
06.05.2023 0:34;Water;"6,5"
06.05.2023 0:39;Water;"6,5"
06.05.2023 0:44;Water;"6,5"
06.05.2023 0:49;Water;"6,5"
06.05.2023 0:54;Water;"6,5"
06.05.2023 0:59;Water;"6,5"
06.05.2023 1:04;Water;"6,5"
06.05.2023 1:09;Water;"6,4"
06.05.2023 1:14;Water;"6,4"
06.05.2023 1:19;Water;"6,4"
06.05.2023 1:24;Water;"6,3"
06.05.2023 1:29;Water;"6,3"
06.05.2023 1:34;Water;"6,3"
06.05.2023 1:39;Water;"6,2"
06.05.2023 1:44;Water;"6,2"
06.05.2023 1:49;Water;"6,3"
06.05.2023 1:54;Water;"6,3"
06.05.2023 1:59;Water;"6,3"
06.05.2023 2:04;Water;"6,3"
06.05.2023 2:09;Water;"6,3"
06.05.2023 2:14;Water;"6,3"
06.05.2023 2:19;Water;"6,2"
06.05.2023 2:24;Water;"6,1"
06.05.2023 2:29;Water;6
06.05.2023 2:34;Water;"5,9"
06.05.2023 2:39;Water;"5,8"
06.05.2023 2:44;Water;"5,7"
06.05.2023 2:49;Water;"5,6"
06.05.2023 2:54;Water;"5,6"
06.05.2023 2:59;Water;"5,6"
06.05.2023 3:04;Water;"5,5"
06.05.2023 3:09;Water;"5,4"
06.05.2023 3:14;Water;"5,4"
06.05.2023 3:19;Water;"5,4"
06.05.2023 3:24;Water;"5,3"
06.05.2023 3:29;Water;"5,1"
06.05.2023 3:34;Water;5
06.05.2023 3:39;Water;"5,1"
06.05.2023 3:44;Water;"5,2"
06.05.2023 3:49;Water;"5,3"
06.05.2023 3:54;Water;"5,4"
06.05.2023 3:59;Water;"5,5"
06.05.2023 4:04;Water;"5,6"
06.05.2023 4:09;Water;"5,6"
06.05.2023 4:14;Water;"5,6"
06.05.2023 4:19;Water;"5,6"
06.05.2023 4:24;Water;"5,6"
06.05.2023 4:29;Water;"5,6"
06.05.2023 4:34;Water;"5,6"
06.05.2023 4:39;Water;"5,7"
06.05.2023 4:44;Water;"5,7"
06.05.2023 4:49;Water;"5,7"
06.05.2023 4:54;Water;"5,7"
06.05.2023 4:59;Water;"5,7"
06.05.2023 5:04;Water;"5,6"
06.05.2023 5:09;Water;"5,6"
06.05.2023 5:14;Water;"5,6"
06.05.2023 5:19;Water;"5,5"
06.05.2023 5:24;Water;"5,5"
06.05.2023 5:29;Water;"5,5"
06.05.2023 5:34;Water;"5,5"
06.05.2023 5:39;Water;"5,4"
06.05.2023 5:44;Water;"5,4"
06.05.2023 5:49;Water;"5,4"
06.05.2023 5:54;Water;"5,4"
06.05.2023 5:59;Water;"5,4"
06.05.2023 6:04;Water;"5,4"
06.05.2023 6:09;Water;"5,4"
06.05.2023 6:14;Water;"5,4"
06.05.2023 6:19;Water;"5,4"
06.05.2023 6:24;Water;"5,4"
06.05.2023 6:29;Water;"5,4"
06.05.2023 6:34;Water;"5,4"
06.05.2023 6:39;Water;"5,4"
06.05.2023 6:44;Water;"5,4"
06.05.2023 6:49;Water;"5,3"
06.05.2023 6:54;Water;"5,3"
06.05.2023 6:59;Water;"5,3"
06.05.2023 7:04;Water;"5,3"
06.05.2023 7:09;Water;"5,3"
06.05.2023 7:14;Water;"5,3"
06.05.2023 7:19;Water;"5,3"
06.05.2023 7:24;Water;"5,2"
06.05.2023 7:29;Water;"5,2"
06.05.2023 7:34;Water;"5,2"
06.05.2023 7:39;Water;"5,2"
06.05.2023 7:44;Water;"5,2"
06.05.2023 7:49;Water;"5,2"
06.05.2023 7:54;Water;"5,2"
06.05.2023 7:59;Water;"5,2"
06.05.2023 8:04;Water;"5,2"
06.05.2023 8:09;Water;"5,2"
06.05.2023 8:14;Water;"5,2"
06.05.2023 8:19;Water;"5,2"
06.05.2023 8:24;Water;"5,2"
06.05.2023 8:29;Water;"5,2"
06.05.2023 8:34;Water;"5,2"
06.05.2023 8:39;Water;"5,2"
06.05.2023 8:44;Water;"5,2"
06.05.2023 8:49;Water;"5,2"
06.05.2023 8:54;Water;"5,2"
06.05.2023 8:59;Water;"5,2"
06.05.2023 9:04;Water;"5,3"
06.05.2023 9:09;Water;"5,3"
06.05.2023 9:14;Water;"5,4"
06.05.2023 9:19;Water;"5,4"
06.05.2023 9:24;Water;"5,5"
06.05.2023 9:29;Water;"5,5"
06.05.2023 9:34;Water;"5,6"
06.05.2023 9:39;Water;"5,6"
06.05.2023 9:44;Water;"5,8"
06.05.2023 9:49;Water;"5,8"
06.05.2023 9:54;Water;"5,9"
06.05.2023 9:59;Water;"5,9"
06.05.2023 10:04;Water;6
06.05.2023 10:09;Water;6
06.05.2023 10:14;Water;"5,9"
06.05.2023 10:19;Water;"5,9"
06.05.2023 10:24;Water;6
06.05.2023 10:29;Water;"6,1"
06.05.2023 10:34;Water;"6,2"
06.05.2023 10:39;Water;"6,3"
06.05.2023 10:44;Water;"6,3"
06.05.2023 10:49;Water;"6,4"
06.05.2023 10:54;Water;"6,4"
06.05.2023 10:59;Water;"6,4"
06.05.2023 11:04;Water;"6,4"
06.05.2023 11:09;Water;"6,4"
06.05.2023 11:14;Water;"6,5"
06.05.2023 11:19;Water;"6,6"
06.05.2023 11:24;Water;"6,6"
06.05.2023 11:29;Water;"6,8"
06.05.2023 11:34;Water;"6,8"
06.05.2023 11:39;Water;"6,9"
06.05.2023 11:44;Water;7
06.05.2023 11:49;Water;7
06.05.2023 11:54;Water;"7,1"
06.05.2023 11:59;Water;"7,2"
06.05.2023 12:04;Water;"7,3"
06.05.2023 12:09;Water;"7,3"
06.05.2023 12:14;Water;"7,5"
06.05.2023 12:19;Water;"7,6"
06.05.2023 12:24;Water;"7,6"
06.05.2023 12:29;Water;"7,5"
06.05.2023 12:34;Water;"7,3"
06.05.2023 12:39;Water;7
06.05.2023 12:44;Water;"6,8"
06.05.2023 12:49;Water;"6,6"
06.05.2023 12:54;Water;"6,4"
06.05.2023 12:59;Water;"6,2"
06.05.2023 13:04;Water;"6,1"
06.05.2023 13:09;Water;"6,1"
06.05.2023 13:14;Water;"6,2"
06.05.2023 13:19;Water;"6,2"
06.05.2023 13:24;Water;"6,3"
06.05.2023 13:29;Water;"6,1"
06.05.2023 13:34;Water;6
06.05.2023 13:39;Water;"5,9"
06.05.2023 13:44;Water;"5,9"
06.05.2023 13:49;Water;"5,8"
06.05.2023 13:54;Water;"5,7"
06.05.2023 13:59;Water;"5,7"
06.05.2023 14:04;Water;"5,7"
06.05.2023 14:09;Water;"5,7"
06.05.2023 14:14;Water;"5,6"
06.05.2023 14:19;Water;"5,7"
06.05.2023 14:24;Water;"5,7"
06.05.2023 14:29;Water;"5,7"
06.05.2023 14:34;Water;"5,5"
06.05.2023 14:39;Water;"5,4"
06.05.2023 14:44;Water;"5,4"
06.05.2023 14:49;Water;"5,4"
06.05.2023 14:54;Water;"5,4"
06.05.2023 14:59;Water;"5,3"
06.05.2023 15:04;Water;"5,3"
06.05.2023 15:09;Water;"5,2"
06.05.2023 15:14;Water;"5,2"
06.05.2023 15:19;Water;"5,2"
06.05.2023 15:24;Water;"5,2"
06.05.2023 15:29;Water;"5,2"
06.05.2023 15:34;Water;"5,2"
06.05.2023 15:39;Water;"5,4"
06.05.2023 15:44;Water;"5,4"
06.05.2023 15:49;Water;"5,4"
06.05.2023 15:54;Water;"5,4"
06.05.2023 15:59;Water;"5,4"
06.05.2023 16:04;Water;"5,3"
06.05.2023 16:09;Water;"5,3"
06.05.2023 16:14;Water;"5,4"
06.05.2023 16:19;Water;"5,4"
06.05.2023 16:24;Water;"5,5"
06.05.2023 16:29;Water;"5,5"
06.05.2023 16:34;Water;"5,5"
06.05.2023 16:39;Water;"5,5"
06.05.2023 16:44;Water;"5,5"
06.05.2023 16:49;Water;"5,5"
06.05.2023 16:54;Water;"5,5"
06.05.2023 16:59;Water;"5,5"
06.05.2023 17:04;Water;"5,5"
06.05.2023 17:09;Water;"5,5"
06.05.2023 17:14;Water;"5,5"
06.05.2023 17:19;Water;"5,5"
06.05.2023 17:24;Water;"5,5"
06.05.2023 17:29;Water;"5,5"
06.05.2023 17:34;Water;"5,5"
06.05.2023 17:39;Water;"5,5"
06.05.2023 17:44;Water;"5,5"
06.05.2023 17:49;Water;"5,5"
06.05.2023 17:54;Water;"5,5"
06.05.2023 17:59;Water;"5,5"
06.05.2023 18:04;Water;"5,5"
06.05.2023 18:09;Water;"5,5"
06.05.2023 18:14;Water;"5,5"
06.05.2023 18:19;Water;"5,5"
06.05.2023 18:24;Water;"5,6"
06.05.2023 18:29;Water;"5,6"
06.05.2023 18:34;Water;"5,6"
06.05.2023 18:39;Water;"5,7"
06.05.2023 18:44;Water;"5,7"
06.05.2023 18:49;Water;"5,8"
06.05.2023 18:54;Water;"5,7"
06.05.2023 18:59;Water;"5,7"
06.05.2023 19:04;Water;"5,7"
06.05.2023 19:09;Water;"5,7"
06.05.2023 19:14;Water;"5,7"
06.05.2023 19:19;Water;"5,7"
06.05.2023 19:24;Water;"5,8"
06.05.2023 19:29;Water;"5,8"
06.05.2023 19:34;Water;"5,8"
06.05.2023 19:39;Water;"5,8"
06.05.2023 19:44;Water;"5,7"
06.05.2023 19:49;Water;"5,7"
06.05.2023 19:54;Water;"5,7"
06.05.2023 19:59;Water;"5,7"
06.05.2023 20:04;Water;"5,7"
06.05.2023 20:09;Water;"5,7"
06.05.2023 20:14;Water;"5,7"
06.05.2023 20:19;Water;"5,6"
06.05.2023 20:24;Water;"5,6"
06.05.2023 20:29;Water;"5,5"
06.05.2023 20:34;Water;"5,5"
06.05.2023 20:39;Water;"5,4"
06.05.2023 20:44;Water;"5,3"
06.05.2023 20:49;Water;"5,2"
06.05.2023 20:54;Water;"5,2"
06.05.2023 20:59;Water;"5,2"
06.05.2023 21:04;Water;"5,3"
06.05.2023 21:09;Water;"5,4"
06.05.2023 21:14;Water;"5,4"
06.05.2023 21:19;Water;"5,5"
06.05.2023 21:24;Water;"5,5"
06.05.2023 21:29;Water;"5,4"
06.05.2023 21:34;Water;"5,4"
06.05.2023 21:39;Water;"5,3"
06.05.2023 21:44;Water;"5,2"
06.05.2023 21:49;Water;"5,2"
06.05.2023 21:54;Water;"5,3"
06.05.2023 21:59;Water;"5,3"
06.05.2023 22:04;Water;"5,3"
06.05.2023 22:09;Water;"5,3"
06.05.2023 22:14;Water;"5,3"
06.05.2023 22:19;Water;"5,3"
06.05.2023 22:24;Water;"5,3"
06.05.2023 22:29;Water;"5,3"
06.05.2023 22:34;Water;"5,3"
06.05.2023 22:39;Water;"5,4"
06.05.2023 22:44;Water;"5,4"
06.05.2023 22:49;Water;"5,5"
06.05.2023 22:54;Water;"5,5"
06.05.2023 22:59;Water;"5,5"
06.05.2023 23:04;Water;"5,5"
06.05.2023 23:09;Water;"5,4"
06.05.2023 23:14;Water;"5,3"
06.05.2023 23:19;Water;"5,1"
06.05.2023 23:24;Water;5
06.05.2023 23:29;Water;"4,9"
06.05.2023 23:34;Water;"4,9"
06.05.2023 23:39;Water;"4,8"
06.05.2023 23:44;Water;"4,8"
06.05.2023 23:49;Water;"4,8"
06.05.2023 23:54;Water;"4,8"
06.05.2023 23:59;Water;"4,8"
06.06.2023 0:04;Water;"4,8"
06.06.2023 0:09;Water;"4,8"
06.06.2023 0:14;Water;"4,8"
06.06.2023 0:19;Water;"4,8"
06.06.2023 0:24;Water;"4,8"
06.06.2023 0:29;Water;"4,7"
06.06.2023 0:34;Water;"4,6"
06.06.2023 0:39;Water;"4,7"
06.06.2023 0:44;Water;"4,7"
06.06.2023 0:49;Water;"4,8"
06.06.2023 0:54;Water;"4,8"
06.06.2023 0:59;Water;"4,9"
06.06.2023 1:04;Water;"4,9"
06.06.2023 1:09;Water;"4,9"
06.06.2023 1:14;Water;"4,8"
06.06.2023 1:19;Water;"4,8"
06.06.2023 1:24;Water;"4,8"
06.06.2023 1:29;Water;"4,8"
06.06.2023 1:34;Water;"4,6"
06.06.2023 1:39;Water;"4,5"
06.06.2023 1:44;Water;"4,5"
06.06.2023 1:49;Water;"4,5"
06.06.2023 1:54;Water;"4,5"
06.06.2023 1:59;Water;"4,5"
06.06.2023 2:04;Water;"4,6"
06.06.2023 2:09;Water;"4,8"
06.06.2023 2:14;Water;"4,9"
06.06.2023 2:19;Water;"4,9"
06.06.2023 2:24;Water;5
06.06.2023 2:29;Water;5
06.06.2023 2:34;Water;5
06.06.2023 2:39;Water;5
06.06.2023 2:44;Water;5
06.06.2023 2:49;Water;5
06.06.2023 2:54;Water;5
06.06.2023 2:59;Water;5
06.06.2023 3:04;Water;5
06.06.2023 3:09;Water;5
06.06.2023 3:14;Water;5
06.06.2023 3:19;Water;5
06.06.2023 3:24;Water;5
06.06.2023 3:29;Water;5
06.06.2023 3:34;Water;5
06.06.2023 3:39;Water;5
06.06.2023 3:44;Water;5
06.06.2023 3:49;Water;5
06.06.2023 3:54;Water;5
06.06.2023 3:59;Water;5
06.06.2023 4:04;Water;5
06.06.2023 4:09;Water;5
06.06.2023 4:14;Water;5
06.06.2023 4:19;Water;5
06.06.2023 4:24;Water;5
06.06.2023 4:29;Water;"4,9"
06.06.2023 4:34;Water;"4,9"
06.06.2023 4:39;Water;"4,9"
06.06.2023 4:44;Water;"4,9"
06.06.2023 4:49;Water;"4,9"
06.06.2023 4:54;Water;"4,9"
06.06.2023 4:59;Water;"4,9"
06.06.2023 5:04;Water;"4,9"
06.06.2023 5:09;Water;"4,9"
06.06.2023 5:14;Water;"4,9"
06.06.2023 5:19;Water;"4,9"
06.06.2023 5:24;Water;"4,9"
06.06.2023 5:29;Water;"4,9"
06.06.2023 5:34;Water;"4,9"
06.06.2023 5:39;Water;"4,9"
06.06.2023 5:44;Water;"4,9"
06.06.2023 5:49;Water;"4,8"
06.06.2023 5:54;Water;"4,8"
06.06.2023 5:59;Water;"4,8"
06.06.2023 6:04;Water;"4,8"
06.06.2023 6:09;Water;"4,8"
06.06.2023 6:14;Water;"4,7"
06.06.2023 6:19;Water;"4,6"
06.06.2023 6:24;Water;"4,6"
06.06.2023 6:29;Water;"4,5"
06.06.2023 6:34;Water;"4,5"
06.06.2023 6:39;Water;"4,5"
06.06.2023 6:44;Water;"4,5"
06.06.2023 6:49;Water;"4,5"
06.06.2023 6:54;Water;"4,5"
06.06.2023 6:59;Water;"4,5"
06.06.2023 7:04;Water;"4,5"
06.06.2023 7:09;Water;"4,5"
06.06.2023 7:14;Water;"4,5"
06.06.2023 7:19;Water;"4,5"
06.06.2023 7:24;Water;"4,5"
06.06.2023 7:29;Water;"4,4"
06.06.2023 7:34;Water;"4,4"
06.06.2023 7:39;Water;"4,4"
06.06.2023 7:44;Water;"4,4"
06.06.2023 7:49;Water;"4,4"
06.06.2023 7:54;Water;"4,4"
06.06.2023 7:59;Water;"4,5"
06.06.2023 8:04;Water;"4,5"
06.06.2023 8:09;Water;"4,6"
06.06.2023 8:14;Water;"4,6"
06.06.2023 8:19;Water;"4,7"
06.06.2023 8:24;Water;"4,7"
06.06.2023 8:29;Water;"4,7"
06.06.2023 8:34;Water;"4,7"
06.06.2023 8:39;Water;"4,6"
06.06.2023 8:44;Water;"4,5"
06.06.2023 8:49;Water;"4,5"
06.06.2023 8:54;Water;"4,4"
06.06.2023 8:59;Water;"4,3"
06.06.2023 9:04;Water;"4,3"
06.06.2023 9:09;Water;"4,3"
06.06.2023 9:14;Water;"4,3"
06.06.2023 9:19;Water;"4,3"
06.06.2023 9:24;Water;"4,3"
06.06.2023 9:29;Water;"4,3"
06.06.2023 9:34;Water;"4,3"
06.06.2023 9:39;Water;"4,4"
06.06.2023 9:44;Water;"4,4"
06.06.2023 9:49;Water;"4,4"
06.06.2023 9:54;Water;"4,4"
06.06.2023 9:59;Water;"4,5"
06.06.2023 10:04;Water;"4,5"
06.06.2023 10:09;Water;"4,6"
06.06.2023 10:14;Water;"4,7"
06.06.2023 10:19;Water;"4,7"
06.06.2023 10:24;Water;"4,8"
06.06.2023 10:29;Water;5
06.06.2023 10:34;Water;"5,1"
06.06.2023 10:39;Water;"5,3"
06.06.2023 10:44;Water;"5,4"
06.06.2023 10:49;Water;"5,5"
06.06.2023 10:54;Water;"5,6"
06.06.2023 10:59;Water;"5,6"
06.06.2023 11:04;Water;"5,7"
06.06.2023 11:09;Water;"5,8"
06.06.2023 11:14;Water;"5,9"
06.06.2023 11:19;Water;"6,1"
06.06.2023 11:24;Water;"6,3"
06.06.2023 11:29;Water;"6,4"
06.06.2023 11:34;Water;"6,2"
06.06.2023 11:39;Water;"5,9"
06.06.2023 11:44;Water;"5,4"
06.06.2023 11:49;Water;5
06.06.2023 11:54;Water;"4,7"
06.06.2023 11:59;Water;"4,5"
06.06.2023 12:04;Water;"4,5"
06.06.2023 12:09;Water;"4,4"
06.06.2023 12:14;Water;"4,4"
06.06.2023 12:19;Water;"4,4"
06.06.2023 12:24;Water;"4,5"
06.06.2023 12:29;Water;"4,4"
06.06.2023 12:34;Water;"4,5"
06.06.2023 12:39;Water;"4,5"
06.06.2023 12:44;Water;"4,6"
06.06.2023 12:49;Water;"4,8"
06.06.2023 12:54;Water;"4,8"
06.06.2023 12:59;Water;"4,8"
06.06.2023 13:04;Water;"4,8"
06.06.2023 13:09;Water;"4,8"
06.06.2023 13:14;Water;"4,8"
06.06.2023 13:19;Water;"4,8"
06.06.2023 13:24;Water;"4,7"
06.06.2023 13:29;Water;"4,6"
06.06.2023 13:34;Water;"4,6"
06.06.2023 13:39;Water;"4,5"
06.06.2023 13:44;Water;"4,5"
06.06.2023 13:49;Water;"4,5"
06.06.2023 13:54;Water;"4,5"
06.06.2023 13:59;Water;"4,5"
06.06.2023 14:04;Water;"4,5"
06.06.2023 14:09;Water;"4,5"
06.06.2023 14:14;Water;"4,5"
06.06.2023 14:19;Water;"4,5"
06.06.2023 14:24;Water;"4,5"
06.06.2023 14:29;Water;"4,5"
06.06.2023 14:34;Water;"4,4"
06.06.2023 14:39;Water;"4,4"
06.06.2023 14:44;Water;"4,3"
06.06.2023 14:49;Water;"4,3"
06.06.2023 14:54;Water;"4,3"
06.06.2023 14:59;Water;"4,4"
06.06.2023 15:04;Water;"4,5"
06.06.2023 15:09;Water;"4,5"
06.06.2023 15:14;Water;"4,5"
06.06.2023 15:19;Water;"4,5"
06.06.2023 15:24;Water;"4,6"
06.06.2023 15:29;Water;"4,6"
06.06.2023 15:34;Water;"4,6"
06.06.2023 15:39;Water;"4,6"
06.06.2023 15:44;Water;"4,7"
06.06.2023 15:49;Water;"4,7"
06.06.2023 15:54;Water;"4,7"
06.06.2023 15:59;Water;"4,7"
06.06.2023 16:04;Water;"4,8"
06.06.2023 16:09;Water;"4,8"
06.06.2023 16:14;Water;"4,8"
06.06.2023 16:19;Water;"4,7"
06.06.2023 16:24;Water;"4,7"
06.06.2023 16:29;Water;"4,7"
06.06.2023 16:34;Water;"4,7"
06.06.2023 16:39;Water;"4,7"
06.06.2023 16:44;Water;"4,7"
06.06.2023 16:49;Water;"4,7"
06.06.2023 16:54;Water;"4,7"
06.06.2023 16:59;Water;"4,7"
06.06.2023 17:04;Water;"4,7"
06.06.2023 17:09;Water;"4,7"
06.06.2023 17:14;Water;"4,7"
06.06.2023 17:19;Water;"4,7"
06.06.2023 17:24;Water;"4,7"
06.06.2023 17:29;Water;"4,6"
06.06.2023 17:34;Water;"4,7"
06.06.2023 17:39;Water;"4,7"
06.06.2023 17:44;Water;"4,7"
06.06.2023 17:49;Water;"4,7"
06.06.2023 17:54;Water;"4,8"
06.06.2023 17:59;Water;"4,8"
06.06.2023 18:04;Water;"4,8"
06.06.2023 18:09;Water;"4,8"
06.06.2023 18:14;Water;"4,8"
06.06.2023 18:19;Water;"4,8"
06.06.2023 18:24;Water;"4,8"
06.06.2023 18:29;Water;"4,8"
06.06.2023 18:34;Water;"4,9"
06.06.2023 18:39;Water;"4,9"
06.06.2023 18:44;Water;"4,9"
06.06.2023 18:49;Water;"4,9"
06.06.2023 18:54;Water;5
06.06.2023 18:59;Water;5
06.06.2023 19:04;Water;5
06.06.2023 19:09;Water;5
06.06.2023 19:14;Water;"4,9"
06.06.2023 19:19;Water;"4,9"
06.06.2023 19:24;Water;"4,8"
06.06.2023 19:29;Water;"4,8"
06.06.2023 19:34;Water;"4,8"
06.06.2023 19:39;Water;"4,7"
06.06.2023 19:44;Water;"4,6"
06.06.2023 19:49;Water;"4,6"
06.06.2023 19:54;Water;"4,6"
06.06.2023 19:59;Water;"4,6"
06.06.2023 20:04;Water;"4,8"
06.06.2023 20:09;Water;"4,8"
06.06.2023 20:14;Water;"4,8"
06.06.2023 20:19;Water;"4,8"
06.06.2023 20:24;Water;"4,7"
06.06.2023 20:29;Water;"4,6"
06.06.2023 20:34;Water;"4,6"
06.06.2023 20:39;Water;"4,6"
06.06.2023 20:44;Water;"4,5"
06.06.2023 20:49;Water;"4,5"
06.06.2023 20:54;Water;"4,3"
06.06.2023 20:59;Water;"4,3"
06.06.2023 21:04;Water;"4,3"
06.06.2023 21:09;Water;"4,3"
06.06.2023 21:14;Water;"4,4"
06.06.2023 21:19;Water;"4,4"
06.06.2023 21:24;Water;"4,4"
06.06.2023 21:29;Water;"4,3"
06.06.2023 21:34;Water;"4,3"
06.06.2023 21:39;Water;"4,3"
06.06.2023 21:44;Water;"4,3"
06.06.2023 21:49;Water;"4,2"
06.06.2023 21:54;Water;"4,2"
06.06.2023 21:59;Water;"4,2"
06.06.2023 22:04;Water;"4,2"
